Time,SoC_1,Voltage_1,Current_1,Temperature_1,SoC_2,Voltage_2,Current_2,Temperature_2,SoC_3,Voltage_3,Current_3,Temperature_3,SoC_4,Voltage_4,Current_4,Temperature_4,SoC_5,Voltage_5,Current_5,Temperature_5,SoC_6,Voltage_6,Current_6,Temperature_6,SoC_7,Voltage_7,Current_7,Temperature_7,SoC_8,Voltage_8,Current_8,Temperature_8
0:0,57.0,49121.0,2072.0,21000.0,59.0,49117.0,1102.0,21000.0,56.0,49131.0,1238.0,20000.0,57.0,49105.0,1450.0,19000.0,56.0,49088.0,713.0,18000.0,57.0,49103.0,686.0,18000.0,,,,,,,,
0:1,57.0,49124.0,1758.0,21000.0,59.0,49109.0,1580.0,20000.0,56.0,49132.0,1582.0,20000.0,57.0,49117.0,1656.0,19000.0,56.0,49106.0,1096.0,18000.0,57.0,49087.0,1044.0,18000.0,,,,,,,,
0:1,57.0,49135.0,1673.0,21000.0,59.0,49114.0,1514.0,20000.0,56.0,49136.0,1590.0,20000.0,57.0,49119.0,1554.0,19000.0,56.0,49091.0,1035.0,18000.0,57.0,49105.0,984.0,18000.0,,,,,,,,
0:2,57.0,49111.0,1744.0,21000.0,59.0,49107.0,1574.0,20000.0,56.0,49136.0,1605.0,20000.0,57.0,49120.0,1632.0,19000.0,56.0,49112.0,1089.0,18000.0,57.0,49091.0,1033.0,18000.0,,,,,,,,
0:2,57.0,49105.0,1759.0,21000.0,59.0,49127.0,1606.0,20000.0,56.0,49121.0,1627.0,20000.0,57.0,49107.0,1663.0,19000.0,56.0,49095.0,1095.0,18000.0,57.0,49096.0,1041.0,18000.0,,,,,,,,
0:3,57.0,49121.0,1748.0,21000.0,59.0,49109.0,1575.0,20000.0,56.0,49127.0,1611.0,20000.0,57.0,49124.0,1638.0,19000.0,56.0,49091.0,1089.0,18000.0,57.0,49096.0,1034.0,18000.0,,,,,,,,
0:3,57.0,49120.0,1712.0,21000.0,59.0,49100.0,1564.0,20000.0,56.0,49130.0,1656.0,20000.0,57.0,49120.0,1617.0,19000.0,56.0,49106.0,1080.0,18000.0,57.0,49085.0,1006.0,18000.0,,,,,,,,
0:4,57.0,49115.0,1720.0,21000.0,58.0,49103.0,1647.0,20000.0,56.0,49126.0,1710.0,20000.0,57.0,49126.0,1730.0,19000.0,56.0,49100.0,1166.0,18000.0,57.0,49092.0,1094.0,18000.0,,,,,,,,
0:4,57.0,49132.0,1801.0,21000.0,58.0,49106.0,1604.0,20000.0,56.0,49134.0,1674.0,20000.0,57.0,49132.0,1687.0,19000.0,56.0,49107.0,1130.0,18000.0,57.0,49090.0,1052.0,18000.0,,,,,,,,
0:5,57.0,49122.0,1691.0,21000.0,58.0,49105.0,1530.0,20000.0,56.0,49132.0,1633.0,20000.0,57.0,49122.0,1593.0,19000.0,56.0,49107.0,1054.0,18000.0,57.0,49087.0,993.0,18000.0,,,,,,,,
0:5,57.0,49101.0,1742.0,21000.0,58.0,49122.0,1567.0,20000.0,56.0,49121.0,1599.0,20000.0,57.0,49108.0,1636.0,19000.0,56.0,49098.0,1096.0,18000.0,57.0,49099.0,1030.0,18000.0,,,,,,,,
