Time,SoC_1,Voltage_1,Current_1,Temperature_1,B_Status_1,V_Status_1,C_Status_1,T_Status_1,SoC_2,Voltage_2,Current_2,Temperature_2,B_Status_2,V_Status_2,C_Status_2,T_Status_2,SoC_3,Voltage_3,Current_3,Temperature_3,B_Status_3,V_Status_3,C_Status_3,T_Status_3,SoC_4,Voltage_4,Current_4,Temperature_4,B_Status_4,V_Status_4,C_Status_4,T_Status_4,SoC_5,Voltage_5,Current_5,Temperature_5,B_Status_5,V_Status_5,C_Status_5,T_Status_5,SoC_6,Voltage_6,Current_6,Temperature_6,B_Status_6,V_Status_6,C_Status_6,T_Status_6,SoC_7,Voltage_7,Current_7,Temperature_7,B_Status_7,V_Status_7,C_Status_7,T_Status_7,SoC_8,Voltage_8,Current_8,Temperature_8,B_Status_8,V_Status_8,C_Status_8,T_Status_8
00:00:26,77.0,49.728,1.696,28.0,Dischg,Normal,Normal,Normal,76.0,49.72,0.956,28.0,Dischg,Normal,Normal,Normal,77.0,49.762,1.754,28.0,Dischg,Normal,Normal,Normal,79.0,49.762,1.692,27.0,Dischg,Normal,Normal,Normal,84.0,49.762,1.558,27.0,Dischg,Normal,Normal,Normal,85.0,49.754,0.922,26.0,Dischg,Normal,Normal,Normal,,,,,,,,,,,,,,,,
00:00:57,77.0,49.712,1.588,28.0,Dischg,Normal,Normal,Normal,76.0,49.703,0.878,28.0,Dischg,Normal,Normal,Normal,77.0,49.75,1.7,28.0,Dischg,Normal,Normal,Normal,79.0,49.761,1.644,27.0,Dischg,Normal,Normal,Normal,84.0,49.755,1.496,27.0,Dischg,Normal,Normal,Normal,85.0,49.754,0.872,26.0,Dischg,Normal,Normal,Normal,,,,,,,,,,,,,,,,
00:01:29,77.0,49.736,1.752,28.0,Dischg,Normal,Normal,Normal,76.0,49.72,0.996,28.0,Dischg,Normal,Normal,Normal,77.0,49.752,1.714,28.0,Dischg,Normal,Normal,Normal,79.0,49.771,1.711,27.0,Dischg,Normal,Normal,Normal,83.0,49.763,1.576,27.0,Dischg,Normal,Normal,Normal,85.0,49.758,0.956,26.0,Dischg,Normal,Normal,Normal,,,,,,,,,,,,,,,,
00:02:01,77.0,49.734,1.766,28.0,Dischg,Normal,Normal,Normal,76.0,49.737,1.002,28.0,Dischg,Normal,Normal,Normal,77.0,49.769,1.828,28.0,Dischg,Normal,Normal,Normal,79.0,49.773,1.711,27.0,Dischg,Normal,Normal,Normal,83.0,49.755,1.573,27.0,Dischg,Normal,Normal,Normal,85.0,49.76,0.955,26.0,Dischg,Normal,Normal,Normal,,,,,,,,,,,,,,,,
00:02:32,77.0,49.735,1.72,28.0,Dischg,Normal,Normal,Normal,76.0,49.73,0.968,28.0,Dischg,Normal,Normal,Normal,77.0,49.766,1.788,28.0,Dischg,Normal,Normal,Normal,79.0,49.771,1.702,27.0,Dischg,Normal,Normal,Normal,83.0,49.755,1.572,27.0,Dischg,Normal,Normal,Normal,85.0,49.758,0.954,26.0,Dischg,Normal,Normal,Normal,,,,,,,,,,,,,,,,
00:03:04,77.0,49.715,0.896,28.0,Dischg,Normal,Normal,Normal,76.0,49.708,0.234,28.0,Dischg,Normal,Normal,Normal,77.0,49.741,1.254,28.0,Dischg,Normal,Normal,Normal,79.0,49.749,1.435,27.0,Dischg,Normal,Normal,Normal,83.0,49.752,1.343,27.0,Dischg,Normal,Normal,Normal,85.0,49.748,0.703,26.0,Dischg,Normal,Normal,Normal,,,,,,,,,,,,,,,,
00:03:36,77.0,49.701,2.008,28.0,Dischg,Normal,Normal,Normal,76.0,49.707,1.222,28.0,Dischg,Normal,Normal,Normal,77.0,49.737,2.004,28.0,Dischg,Normal,Normal,Normal,79.0,49.765,1.952,27.0,Dischg,Normal,Normal,Normal,83.0,49.749,1.803,27.0,Dischg,Normal,Normal,Normal,85.0,49.745,1.158,26.0,Dischg,Normal,Normal,Normal,,,,,,,,,,,,,,,,
00:04:08,76.0,49.716,2.242,28.0,Dischg,Normal,Normal,Normal,76.0,49.711,1.398,28.0,Dischg,Normal,Normal,Normal,77.0,49.744,2.179,28.0,Dischg,Normal,Normal,Normal,78.0,49.748,2.035,27.0,Dischg,Normal,Normal,Normal,83.0,49.749,1.884,27.0,Dischg,Normal,Normal,Normal,85.0,49.746,1.252,26.0,Dischg,Normal,Normal,Normal,,,,,,,,,,,,,,,,
00:04:39,76.0,49.691,1.956,28.0,Dischg,Normal,Normal,Normal,76.0,49.691,1.194,28.0,Dischg,Normal,Normal,Normal,77.0,49.732,2.036,28.0,Dischg,Normal,Normal,Normal,78.0,49.743,1.938,27.0,Dischg,Normal,Normal,Normal,83.0,49.736,1.787,27.0,Dischg,Normal,Normal,Normal,85.0,49.734,1.137,26.0,Dischg,Normal,Normal,Normal,,,,,,,,,,,,,,,,
00:05:11,76.0,49.69,2.103,28.0,Dischg,Normal,Normal,Normal,76.0,49.682,1.219,28.0,Dischg,Normal,Normal,Normal,77.0,49.735,2.103,28.0,Dischg,Normal,Normal,Normal,78.0,49.742,2.013,27.0,Dischg,Normal,Normal,Normal,83.0,49.738,1.851,27.0,Dischg,Normal,Normal,Normal,85.0,49.73,1.18,26.0,Dischg,Normal,Normal,Normal,,,,,,,,,,,,,,,,
00:05:43,76.0,49.712,1.924,28.0,Dischg,Normal,Normal,Normal,76.0,49.701,1.094,28.0,Dischg,Normal,Normal,Normal,77.0,49.743,2.036,28.0,Dischg,Normal,Normal,Normal,78.0,49.76,1.929,27.0,Dischg,Normal,Normal,Normal,83.0,49.739,1.772,27.0,Dischg,Normal,Normal,Normal,85.0,49.743,1.132,26.0,Dischg,Normal,Normal,Normal,,,,,,,,,,,,,,,,
00:06:14,76.0,49.696,2.001,28.0,Dischg,Normal,Normal,Normal,76.0,49.684,1.161,28.0,Dischg,Normal,Normal,Normal,77.0,49.732,2.065,28.0,Dischg,Normal,Normal,Normal,78.0,49.748,1.963,27.0,Dischg,Normal,Normal,Normal,83.0,49.736,1.813,27.0,Dischg,Normal,Normal,Normal,85.0,49.734,1.153,26.0,Dischg,Normal,Normal,Normal,,,,,,,,,,,,,,,,
